season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game,plus_minus_per_game
E2018_P006661_TEL,E2018,P006661,"WILBEKIN, SCOTTIE",TEL,29.0,29.0,717.9,373,61,119,65,198,56,70,10,43,53,90,26,48,0,5,54,90,320,79,24.75,12.86,2.1,4.1,0.513,2.24,6.83,0.328,1.93,2.41,0.8,0.34,1.48,1.83,3.1,0.9,1.66,0.0,0.17,1.86,3.1,11.03,2.72
E2019_P006661_TEL,E2019,P006661,"WILBEKIN, SCOTTIE",TEL,26.0,25.0,676.3,419,42,96,90,207,65,80,4,47,51,88,32,58,1,6,40,110,411,144,26.01,16.12,1.62,3.69,0.438,3.46,7.96,0.435,2.5,3.08,0.812,0.15,1.81,1.96,3.38,1.23,2.23,0.04,0.23,1.54,4.23,15.81,5.54
E2020_P006661_TEL,E2020,P006661,"WILBEKIN, SCOTTIE",TEL,34.0,34.0,917.8,470,70,141,80,244,90,101,9,75,84,132,37,82,1,10,49,126,463,10,26.99,13.82,2.06,4.15,0.496,2.35,7.18,0.328,2.65,2.97,0.891,0.26,2.21,2.47,3.88,1.09,2.41,0.03,0.29,1.44,3.71,13.62,0.29
E2021_P006661_TEL,E2021,P006661,"WILBEKIN, SCOTTIE",TEL,35.0,35.0,1016.0,539,85,180,91,240,96,102,10,65,75,144,53,70,0,14,57,108,528,34,29.03,15.4,2.43,5.14,0.472,2.6,6.86,0.379,2.74,2.91,0.941,0.29,1.86,2.14,4.11,1.51,2.0,0.0,0.4,1.63,3.09,15.09,0.97
E2022_P006661_ULK,E2022,P006661,"WILBEKIN, SCOTTIE",ULK,25.0,23.0,591.6,278,40,79,55,154,33,45,5,38,43,65,25,33,1,7,46,77,253,127,23.67,11.12,1.6,3.16,0.506,2.2,6.16,0.357,1.32,1.8,0.733,0.2,1.52,1.72,2.6,1.0,1.32,0.04,0.28,1.84,3.08,10.12,5.08
E2023_P006661_ULK,E2023,P006661,"WILBEKIN, SCOTTIE",ULK,41.0,18.0,1010.9,534,49,115,122,304,70,80,22,70,92,137,46,68,1,4,72,106,514,143,24.66,13.02,1.2,2.8,0.426,2.98,7.41,0.401,1.71,1.95,0.875,0.54,1.71,2.24,3.34,1.12,1.66,0.02,0.1,1.76,2.59,12.54,3.49
E2024_P006661_ULK,E2024,P006661,"WILBEKIN, SCOTTIE",ULK,1.0,0.0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-3,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.0
E2018_P009472_CAN,E2018,P009472,"WILEY, JACOB",CAN,7.0,3.0,150.5,70,31,49,0,1,8,10,9,9,18,4,6,13,7,2,17,12,64,-82,21.5,10.0,4.43,7.0,0.633,0.0,0.14,0.0,1.14,1.43,0.8,1.29,1.29,2.57,0.57,0.86,1.86,1.0,0.29,2.43,1.71,9.14,-11.71
E2019_P009472_PAN,E2019,P009472,"WILEY, JACOB",PAN,24.0,5.0,281.8,129,54,83,0,1,21,30,23,20,43,7,11,8,9,2,27,23,146,-33,11.74,5.38,2.25,3.46,0.651,0.0,0.04,0.0,0.88,1.25,0.7,0.96,0.83,1.79,0.29,0.46,0.33,0.38,0.08,1.12,0.96,6.08,-1.38
E2007_P000072_LEM,E2007,P000072,"WILKINS, JOHN-WALTER",LEM,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2011_PKWY_UNK,E2011,PKWY,"WILKINSON, MIKE",UNK,16.0,15.0,449.9,103,18,50,21,63,4,8,17,60,77,9,9,12,9,1,35,12,93,51,28.12,6.44,1.12,3.12,0.36,1.31,3.94,0.333,0.25,0.5,0.5,1.06,3.75,4.81,0.56,0.56,0.75,0.56,0.06,2.19,0.75,5.81,3.19
